tokens,pos_tags
"['Certes', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[0, 1, 2, 0, 3, 4, 5, 6, 7, 8, 7, 8, 5, 7, 8, 7, 1, 3, 5, 7, 9, 8, 5, 10, 7, 1, 0, 11, 0, 3, 5, 6, 12, 5, 7, 1, 3, 5, 7, 1, 0, 3, 0, 5, 0, 6, 1]"
"['Toujours', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[0, 3, 2, 4, 5, 7, 11, 3, 0, 4, 5, 7, 6, 0, 3, 5, 7, 6, 12, 3, 1, 8, 5, 6, 7, 1, 4, 5, 7, 9, 8, 5, 7, 9, 8, 5, 7, 3, 8, 5, 7, 8, 5, 7, 2, 3, 8, 3, 5, 7, 6, 12, 9, 8, 5, 7, 3, 9, 8, 5, 7, 8, 5, 1, 13, 1, 1]"
"['_', 'De', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[9, 8, 5, 7, 1, 2, 2, 11, 3, 8, 5, 7, 9, 8, 5, 7, 9, 8, 5, 7, 6, 1, 2, 3, 5, 6, 7, 8, 7, 4, 5, 7, 9, 8, 5, 7, 6, 1, 1, 0, 6, 8, 5, 7, 6, 4, 8, 5, 7, 9, 8, 5, 7, 8, 5, 7, 8, 7, 9, 8, 5, 7, 6, 12, 6, 1]"
"['Le', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[5, 7, 2, 3, 0, 8, 3, 5, 7, 8, 5, 7, 8, 7, 2, 11, 0, 3, 5, 7, 8, 5, 7, 8, 3, 5, 7, 8, 7, 1]"
"['Ironie', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[7, 9, 8, 5, 7, 1, 2, 2, 3, 8, 2, 2, 5, 7, 8, 7, 3, 8, 5, 6, 7, 5, 7, 6, 8, 10, 3, 8, 5, 7, 1, 7, 12, 5, 7, 1]"
"['M.', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[7, 13, 11, 1, 8, 6, 7, 1, 3, 4, 1, 5, 7, 9, 8, 5, 7, 6, 3, 8, 7, 1, 1]"
"['Mais', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[12, 2, 3, 0, 4, 2, 11, 3, 5, 7, 8, 1, 3, 5, 7, 1, 12, 8, 1, 3, 5, 7, 1, 1]"
"['En', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 7, 9, 8, 5, 7, 8, 7, 1, 7, 8, 5, 7, 8, 5, 7, 8, 5, 7, 8, 7, 9, 8, 5, 7, 12, 9, 8, 5, 6, 7, 6, 1, 12, 9, 8, 5, 7, 8, 7, 6, 1, 7, 8, 5, 7, 6, 8, 7, 1, 6, 1, 8, 7, 1, 7, 9, 8, 5, 7, 8, 7, 9, 8, 5, 7, 1, 1, 2, 0, 3, 5, 6, 7, 1, 7, 1]"
"[""D'"", '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 6, 7, 1, 8, 10, 7, 9, 8, 5, 7, 6, 1, 0, 5, 6, 7, 2, 5, 7, 6, 8, 5, 7, 6, 11, 3, 8, 3, 5, 7, 8, 7, 1, 4, 2, 2, 3, 9, 8, 5, 7, 1, 8, 5, 7, 9, 8, 5, 7, 6, 12, 9, 8, 5, 7, 9, 8, 5, 7, 1, 11, 2, 3, 3, 5, 7, 6, 1]"
"['Il', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[2, 0, 3, 0, 6, 4, 5, 7, 6, 12, 5, 7, 3, 8, 0, 12, 0, 5, 7, 9, 8, 5, 7, 8, 7, 8, 5, 7, 8, 6, 7, 1]"
"['Pourtant', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[0, 1, 5, 1, 7, 8, 5, 7, 1, 3, 0, 6, 1]"
"[""D'"", '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 7, 1, 4, 4, 5, 7, 8, 7, 13, 12, 8, 5, 7, 1, 7, 13, 1, 13, 13, 1, 8, 3, 5, 7, 8, 5, 7, 9, 8, 5, 7, 8, 7, 3, 8, 3, 5, 7, 1]"
"['Sur', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 5, 6, 6, 7, 1, 5, 7, 8, 7, 0, 11, 3, 0, 8, 10, 7, 0, 4, 5, 7, 3, 8, 10, 7, 12, 10, 7, 5, 10, 6, 7, 1]"
"['En', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 6, 7, 1, 5, 7, 9, 8, 5, 7, 6, 12, 8, 5, 7, 9, 8, 5, 7, 8, 5, 7, 8, 7, 1, 2, 11, 2, 3, 8, 5, 6, 7, 8, 5, 7, 8, 10, 7, 8, 7, 8, 5, 7, 8, 5, 1, 13, 1, 1, 3, 0, 0, 5, 7, 6, 9, 8, 5, 7, 1]"
"['La', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[5, 7, 6, 8, 7, 1, 7, 3, 8, 7, 8, 3, 9, 8, 5, 7, 5, 7, 3, 8, 10, 7, 5, 7, 8, 7, 9, 8, 5, 7, 1]"
"['Cette', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[5, 7, 1, 2, 3, 11, 3, 8, 5, 6, 7, 1, 3, 8, 3, 5, 10, 7, 8, 7, 1]"
"[""C'"", '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[2, 3, 1, 8, 1, 3, 8, 7, 0, 4, 2, 2, 3, 5, 7, 8, 7, 1, 2, 5, 7, 8, 10, 7, 9, 8, 5, 7, 8, 5, 7, 1, 3, 9, 8, 5, 7, 8, 5, 1, 7, 1, 8, 5, 7, 8, 5, 7, 8, 5, 7, 9, 8, 5, 7, 8, 7, 1]"
"['A', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 5, 7, 9, 8, 5, 7, 9, 8, 5, 6, 6, 7, 6, 1, 9, 8, 5, 10, 9, 8, 5, 10, 7, 8, 13, 1, 2, 3, 5, 7, 8, 5, 7, 6, 9, 8, 5, 7, 6, 1, 5, 7, 9, 8, 5, 10, 7, 1, 10, 12, 10, 7, 1, 1]"
"['Après', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 5, 13, 1, 5, 13, 12, 5, 6, 1, 13, 1, 2, 3, 5, 7, 8, 5, 13, 1, 2, 3, 5, 6, 1, 7, 8, 7, 1, 1]"
"['ROME', '_', '_', '_']","[13, 8, 5, 7]"
"['""', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[1, 2, 0, 2, 3, 12, 7, 12, 7, 1, 12, 5, 7, 8, 5, 7, 1, 5, 6, 2, 11, 3, 8, 2, 1, 2, 11, 12, 2, 3, 2, 3, 1]"
"['""', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[1, 9, 8, 5, 7, 8, 5, 7, 9, 8, 5, 7, 8, 13, 1, 5, 7, 0, 3, 8, 7, 13, 13, 1, 5, 7, 9, 8, 5, 7, 1, 3, 8, 5, 7, 8, 7, 8, 0, 0, 6, 4, 8, 5, 7, 8, 5, 7, 8, 7, 8, 5, 6, 7, 6, 12, 6, 6, 1, 5, 13, 1, 0, 3, 8, 5, 7, 6, 1, 5, 7, 0, 3, 12, 5, 6, 7, 8, 5, 7, 6, 1, 3, 5, 7, 0, 7, 8, 1, 6, 7, 1, 1]"
"['Le', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[5, 1, 7, 6, 1, 9, 8, 5, 7, 9, 8, 5, 7, 10, 1, 8, 5, 7, 6, 8, 10, 7, 8, 7, 1, 5, 7, 6, 12, 5, 7, 9, 8, 5, 7, 8, 7, 8, 5, 7, 6, 1, 3, 0, 0, 6, 1]"
"[""L'"", '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[5, 7, 1, 12, 5, 7, 1, 2, 11, 3, 1, 5, 7, 3, 1, 12, 5, 7, 8, 2, 3, 1, 8, 2, 3, 9, 8, 5, 7, 6, 1, 3, 3, 1]"
"['Conscients', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[6, 0, 4, 5, 13, 8, 5, 13, 0, 3, 0, 5, 7, 1, 5, 7, 1, 6, 9, 8, 5, 7, 12, 9, 8, 5, 7, 9, 8, 5, 7, 2, 2, 11, 3, 8, 13, 1, 2, 3, 8, 3, 0, 0, 8, 5, 7, 6, 12, 5, 7, 1, 6, 1, 8, 13, 8, 4, 5, 13, 3, 5, 7, 6, 12, 6, 1]"
"['A', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 7, 1, 4, 7, 3, 1, 8, 5, 1, 7, 8, 7, 1, 1, 5, 7, 8, 7, 9, 8, 5, 7, 8, 7, 6, 8, 5, 7, 6, 2, 11, 3, 5, 1, 14, 1, 9, 8, 5, 7, 6, 8, 5, 13, 1, 0, 4, 5, 7, 12, 5, 7, 8, 13, 3, 0, 5, 7, 1]"
"['Grèves', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[7, 1, 5, 6, 8, 7, 1, 2, 9, 8, 5, 7, 1, 11, 3, 13, 5, 7, 8, 5, 7, 9, 8, 5, 7, 10, 7, 1, 1, 7, 8, 5, 7, 6, 1, 7, 8, 5, 7, 15, 1, 6, 8, 5, 6, 7, 6, 6, 1, 7, 8, 5, 7, 1, 7, 12, 7, 8, 5, 7, 1, 5, 7, 3, 8, 5, 7, 6, 8, 6, 7, 2, 11, 3, 0, 5, 7, 8, 3, 8, 5, 7, 1, 8, 10, 7, 8, 1, 7, 1, 0, 6, 9, 8, 5, 7, 8, 5, 7, 1, 8, 7, 9, 8, 5, 0, 1, 5, 7, 0, 3, 0, 6, 1]"
"['Sur', '_', '_', '_', '_', '_', '_', '_']","[8, 5, 7, 9, 8, 5, 6, 7]"
"['Et', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[12, 0, 1, 8, 2, 3, 5, 0, 0, 1, 5, 7, 0, 3, 3, 1, 3, 0, 0, 6, 1]"
"['En', '_', '_', '_', '_', '_', '_', '_']","[8, 5, 7, 3, 2, 0, 6, 1]"
"['""', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[1, 0, 3, 0, 1, 1, 1, 3, 8, 7, 0, 7, 13, 13, 13, 1, 5, 7, 8, 5, 6, 7, 8, 13, 1, 2, 1, 0, 9, 8, 5, 1, 0, 9, 8, 5, 7, 9, 8, 5, 7, 6, 1, 3, 0, 8, 0, 8, 0, 0, 5, 7, 6, 9, 8, 5, 7, 1, 8, 4, 2, 2, 3, 8, 5, 7, 8, 5, 13, 1, 6, 1, 3, 8, 7, 7, 8, 5, 6, 6, 7, 6, 1]"
"['Il', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[2, 3, 6, 4, 1, 4, 5, 7, 11, 3, 8, 5, 7, 1, 5, 7, 11, 2, 3, 8, 3, 0, 5, 0, 8, 5, 7, 8, 6, 6, 7, 8, 1, 6, 7, 1, 1, 2, 1, 8, 10, 12, 10, 1, 11, 3, 1, 8, 6, 1, 5, 7, 8, 5, 6, 7, 6, 1, 5, 7, 8, 7, 9, 8, 5, 7, 3, 0, 5, 7, 9, 8, 5, 7, 8, 5, 13, 1, 12, 5, 7, 9, 8, 5, 7, 6, 8, 5, 7, 6, 1]"
"['Sans', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 3, 5, 6, 7, 12, 5, 7, 8, 0, 0, 6, 4, 2, 2, 3, 0, 9, 8, 5, 7, 6, 12, 9, 8, 5, 7, 8, 5, 7, 1]"
"['Ériger', '_', '_', '_', '_', '_', '_', '_', '_']","[3, 5, 7, 8, 7, 3, 5, 7, 1]"
"['Fusions', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[7, 1, 7, 1, 7, 6, 12, 0, 15, 1, 15, 8, 5, 7, 1, 2, 3, 6, 8, 3, 8, 2, 3, 8, 5, 7, 6, 6, 1, 3, 8, 5, 6, 12, 6, 7, 1, 3, 8, 7, 8, 7, 0, 6, 1]"
"['Digital', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[15, 15, 3, 5, 15, 1, 15, 8, 5, 13, 1, 7, 1, 7, 1, 1, 13, 12, 13, 2, 3, 8, 13, 1, 12, 5, 7, 1, 8, 13, 1, 7, 9, 8, 5, 7, 2, 1, 2, 2, 3, 5, 7, 0, 1, 11, 3, 5, 6, 7, 8, 5, 7, 8, 5, 7, 8, 7, 8, 13, 1, 0, 3, 0, 5, 7, 8, 3, 8, 5, 7, 1]"
"['Dans', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 5, 7, 1, 5, 7, 1, 8, 7, 3, 8, 5, 7, 8, 5, 7, 12, 5, 7, 1, 9, 8, 5, 7, 4, 0, 5, 7, 3, 8, 5, 13, 3, 8, 3, 5, 7, 8, 7, 6, 8, 5, 6, 6, 7, 1, 5, 13, 12, 5, 13, 1, 0, 11, 0, 0, 3, 6, 1]"
"['ce', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[2, 3, 5, 7, 0, 4, 2, 2, 11, 3, 8, 3, 5, 7, 9, 8, 5, 7, 9, 8, 5, 7, 1, 7, 1, 7, 6, 0, 8, 7, 8, 5, 7, 6, 1, 2, 5, 7, 8, 7, 3, 8, 10, 1, 11, 3, 1, 8, 7, 1, 9, 8, 5, 7, 6, 8, 3, 8, 3, 8, 7, 6, 6, 1, 0, 4, 5, 7, 8, 7, 6, 3, 8, 3, 5, 7, 6, 8, 5, 7, 8, 7, 1]"
"['Même', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[6, 1, 7, 1, 1, 4, 2, 11, 3, 1, 8, 3, 6, 5, 6, 7, 8, 5, 7, 9, 8, 5, 7, 1, 5, 1, 15, 1, 1, 1, 5, 7, 3, 1, 4, 2, 2, 3, 8, 7, 9, 8, 5, 7, 8, 13, 2, 2, 3, 0, 8, 7, 4, 13, 1, 13, 1, 5, 7, 8, 5, 7, 2, 5, 7, 3, 2, 3, 10, 7, 8, 7, 1]"
"['Selon', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[8, 5, 7, 8, 5, 7, 8, 5, 7, 1, 13, 1, 1, 5, 7, 9, 8, 5, 7, 3, 8, 8, 10, 7, 8, 10, 7, 9, 8, 5, 7, 6, 6, 1, 7, 1, 1, 8, 5, 7, 8, 10, 7, 8, 5, 7, 6, 1, 12, 8, 8, 10, 7, 8, 2, 8, 5, 7, 1]"
"['Une', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']","[5, 7, 6, 1, 12, 0, 9, 8, 5, 0, 5, 1, 6, 7, 8, 7, 1, 0, 3, 1, 8, 3, 8, 5, 7, 9, 8, 5, 7, 6, 12, 5, 7, 6, 1, 3, 5, 7, 1, 3, 0, 8, 10, 7, 12, 0, 0, 3, 8, 5, 7, 8, 1, 7, 1, 8, 7, 1, 8, 7, 6, 2, 3, 5, 15, 15, 1, 7, 6, 3, 8, 5, 7, 1, 1, 12, 5, 7, 1, 12, 3, 5, 1, 6, 1, 7, 1, 0, 6, 8, 13, 1]"
