tokens,pos_tags
"['auntie', '<', 'good', 'morning', '//']","[3, 1, 12, 3, 1]"
"['good', 'morning', '!//']","[12, 3, 1]"
"['how', 'you', 'dey', 'now', '?//']","[11, 5, 6, 11, 1]"
"['I', 'dey', 'fine', '//']","[5, 6, 12, 1]"
"['how', 'your', 'night', '?//']","[11, 5, 3, 1]"
"['we', 'thank', 'God', '//']","[5, 6, 14, 1]"
"['hope', 'sey', '[', 'you', 'sleep', 'well', ']', '?//']","[6, 4, 1, 5, 6, 11, 1, 1]"
"['ah', 'my', 'sister', '<', 'I', 'sleep', 'well', 'o', '!//']","[0, 5, 3, 1, 5, 6, 11, 10, 1]"
"['una', 'get', 'light', 'for', 'una', 'area', '>', 'last', 'night', '?//']","[5, 6, 3, 7, 5, 3, 1, 12, 3, 1]"
"['we', 'no', 'get', 'o', '//']","[5, 10, 6, 10, 1]"
"['ah', 'wetin', 'happen', 'now', '?//']","[0, 5, 6, 11, 1]"
"['toh', 'na', 'NEPA', 'o', '!//']","[0, 8, 14, 10, 1]"
"['aha', 'dese', 'people', '<', 'I', 'hear', 'sey', '[', 'de', 'dey', 'share', 'di', 'light', ']', '//']","[0, 2, 3, 1, 5, 6, 4, 1, 5, 8, 6, 2, 3, 1, 1]"
"['my', 'sister', '<', 'di', 'tin', 'tire', 'me', 'o', '!//']","[5, 3, 1, 2, 3, 6, 5, 10, 1]"
"['eh', '!//']","[0, 1]"
"['{', 'de', 'just', 'dey', 'share', 'am', '|c', 'but', 'de', 'go', 'dey', 'bring', 'big', 'bill', '}', '//']","[1, 5, 11, 8, 6, 5, 1, 13, 5, 8, 8, 6, 12, 3, 1, 1]"
"['our', 'ah', '&//']","[5, 0, 1]"
"['in', 'fact', '<', 'dat', 'bill', 'na', 'anoder', 'tin', 'again', '//']","[7, 3, 1, 2, 3, 8, 2, 3, 11, 1]"
"['na', 'so', '>', 'my', 'sister', '//']","[8, 11, 1, 5, 3, 1]"
